composer,catalog,title,era,difficulty_estimate
"Johann Sebastian Bach","BWV 846","Prelude and Fugue in C Major (WTC Book 1)","Baroque","4-6"
"Johann Sebastian Bach","BWV 847","Prelude and Fugue in C Minor (WTC Book 1)","Baroque","4-6"
"Johann Sebastian Bach","BWV 848","Prelude and Fugue in C-sharp Major (WTC Book 1)","Baroque","4-6"
"Johann Sebastian Bach","BWV 849","Prelude and Fugue in C-sharp Minor (WTC Book 1)","Baroque","4-6"
"Johann Sebastian Bach","BWV 850","Prelude and Fugue in D Major (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 851","Prelude and Fugue in D Minor (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 852","Prelude and Fugue in E-flat Major (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 853","Prelude and Fugue in E-flat Minor (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 854","Prelude and Fugue in E Major (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 855","Prelude and Fugue in E Minor (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 856","Prelude and Fugue in F Major (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 857","Prelude and Fugue in F Minor (WTC Book 1)","Baroque","6-8"
"Johann Sebastian Bach","BWV 858","Prelude and Fugue in F-sharp Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 859","Prelude and Fugue in F-sharp Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 860","Prelude and Fugue in G Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 861","Prelude and Fugue in G Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 862","Prelude and Fugue in A-flat Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 863","Prelude and Fugue in G-sharp Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 864","Prelude and Fugue in A Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 865","Prelude and Fugue in A Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 866","Prelude and Fugue in B-flat Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 867","Prelude and Fugue in B-flat Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 868","Prelude and Fugue in B Major (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 869","Prelude and Fugue in B Minor (WTC Book 1)","Baroque","7-10"
"Johann Sebastian Bach","BWV 870","Prelude and Fugue in C Major (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 871","Prelude and Fugue in C Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 874","Prelude and Fugue in D Major (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 875","Prelude and Fugue in D Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 878","Prelude and Fugue in E Major (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 881","Prelude and Fugue in F Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 883","Prelude and Fugue in F-sharp Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 884","Prelude and Fugue in G Major (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 885","Prelude and Fugue in G Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 887","Prelude and Fugue in G-sharp Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 889","Prelude and Fugue in A Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 893","Prelude and Fugue in B Minor (WTC Book 2)","Baroque","7-9"
"Johann Sebastian Bach","BWV 806","English Suite No. 1 in A Major","Baroque","7-9"
"Johann Sebastian Bach","BWV 807","English Suite No. 2 in A Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 808","English Suite No. 3 in G Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 809","English Suite No. 4 in F Major","Baroque","7-9"
"Johann Sebastian Bach","BWV 810","English Suite No. 5 in E Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 811","English Suite No. 6 in D Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 812","French Suite No. 1 in D Minor","Baroque","5-7"
"Johann Sebastian Bach","BWV 813","French Suite No. 2 in C Minor","Baroque","5-7"
"Johann Sebastian Bach","BWV 814","French Suite No. 3 in B Minor","Baroque","5-7"
"Johann Sebastian Bach","BWV 815","French Suite No. 4 in E-flat Major","Baroque","5-7"
"Johann Sebastian Bach","BWV 816","French Suite No. 5 in G Major","Baroque","5-7"
"Johann Sebastian Bach","BWV 817","French Suite No. 6 in E Major","Baroque","5-7"
"Johann Sebastian Bach","BWV 825","Partita No. 1 in B-flat Major","Baroque","7-9"
"Johann Sebastian Bach","BWV 826","Partita No. 2 in C Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 827","Partita No. 3 in A Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 828","Partita No. 4 in D Major","Baroque","7-9"
"Johann Sebastian Bach","BWV 829","Partita No. 5 in G Major","Baroque","7-9"
"Johann Sebastian Bach","BWV 830","Partita No. 6 in E Minor","Baroque","7-9"
"Johann Sebastian Bach","BWV 988","Goldberg Variations — Aria","Baroque","8-10"
"Johann Sebastian Bach","BWV 971","Italian Concerto in F Major","Baroque","8-9"
"Johann Sebastian Bach","BWV 903","Chromatic Fantasia and Fugue in D Minor","Baroque","9-10"
"Johann Sebastian Bach","BWV 772","Two-Part Invention No. 1 in C Major","Baroque","3-4"
"Johann Sebastian Bach","BWV 775","Two-Part Invention No. 4 in D Minor","Baroque","3-4"
"Johann Sebastian Bach","BWV 779","Two-Part Invention No. 8 in F Major","Baroque","3-5"
"Johann Sebastian Bach","BWV 784","Two-Part Invention No. 13 in A Minor","Baroque","4-5"
